MovieTitle,ReleaseYear,RunTime,Genres,DirectorName,Rating,Studio,OriginCountry,OriginalLanguage,cast
Superboys of Malegaon,2024,130 mins   More at IMDb TMDB  Report this page,"Drama, Comedy",Reema Kagti,3.87 out of 5,Excel Entertainment,India,Hindi,"Adarsh Gourav, Shashank Arora, Vineet Kumar Singh, Anuj Singh Duhan, Saqib Ayub, Pallav Singgh, Manjiri Pupala, Muskkaan Jaferi, Anmol Kajani, Gyanendra Tripathi, Sanjay Dadich, Riddhi Kumar, Yash Yogendra, Jagdish Rajpurohit, Abhinav Grover, Harshad Kumar, Ranjit Deval, Amita Pavera, Neha Mishra, Chetan Mishra, Athar Nawaaz, Iqbal Shaikh, Harshad Shah, Varad Bhatnagar, Pradeep Baghel, Mayuriesh Dhaliwal, Ananya Pathak, Ali Abbas, Atharva Kulkarni, Suyas Yashpal, Nitin Salunke, Shankar Dada, Dhananjay Kapoor, Shakeel Dada, Sohail Anwar Shaikh, Mukkem Arshad, Nirbhay Jain, Nand Kumar Deshpande"
Padakkalam,2025,123 mins   More at IMDb TMDB  Report this page,"Comedy, Fantasy",Manu Swaraj,3.42 out of 5,Friday Film House,India,Malayalam,"Sharafudheen, Sandeep Pradeep, Suraj Venjaramoodu, Arun Pradeep, Arun Ajikumar, Saaf, Niranjana Anoop, Pooja Mohanraj, Ishan Shoukath, Nahas Hidayath, Vijay Babu, Shaju Sreedhar"
Kaithi,2019,147 mins   More at IMDb TMDB  Report this page,"Action, Thriller, Crime",Lokesh Kanagaraj,3.94 out of 5,Dream Warrior Pictures,India,Tamil,"Karthi, Narain, Arjun Das, Harish Uthaman, George Mariyan, KPY Dheena, Ramana, Amzath Khan, Kanna Ravi, Hareesh Peradi, Arun Alexander, Vatsan Chakravarthi, Udayaraj, Kishore Rajkumar, Lallu Prasath, Black Sheep Deepthi, Monekha Siva, Krishnamoorthy, Mahanadhi Shankar, Malavika Avinash, Chetan, R. N. R. Manohar, Pugazh, Pasupathi Raj"
Dil Chahta Hai,2001,183 mins   More at IMDb TMDB  Report this page,"Romance, Drama",Farhan Akhtar,3.66 out of 5,Excel Entertainment,India,Hindi,"Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity Zinta, Sonali Kulkarni, Dimple Kapadia, Ayub Khan, Rajat Kapoor, Samantha Tremayne, Suchitra Pillai, Suhasini Mulay, Bomi Doctor, Anjula Bedi, Ahmed Khan, Kannu Gill, Rakesh Pandey, Mandala Tayde, Beatrice Gibson, Deepak Malhotra, Asad Dadarkar, Raj Zutshi, Meenakshi Verma, Gordon Waddell, Kiran Rao, Samara Cannan, Kerry Casey"
Good Bad Ugly,2025,139 mins   More at IMDb TMDB  Report this page,"Action, Crime, Comedy",Adhik Ravichandran,2.32 out of 5,Mythri Movie Makers,India,Tamil,"Ajith Kumar, Trisha Krishnan, Arjun Das, Sunil Varma, Prabhu, Prasanna, Jackie Shroff, Karthikeya Dev, Priya Prakash Varrier, Simran, Tinnu Anand, Shine Tom Chacko, Redin Kingsley, Raghu Ram, Usha Uthup, Yogi Babu, Sayaji Shinde, B. S. Avinash, Darkkey Nagaraja, Harry Josh, Rahul Dev, Pradeep Kabra, Mahanadhi Shankar, Adhik Ravichandran"
Vada Chennai,2018,166 mins   More at IMDb TMDB  Report this page,"Action, Crime, Drama",Vetrimaaran,4.21 out of 5,Wunderbar Films,India,Tamil,"Dhanush, Andrea Jeremiah, Samuthirakani, Daniel Balaji, Kishore, Pawan, Ameer, Aishwarya Rajesh, Subramaniam Siva, Pavel Navageethan, Boxer Dheena, Joy Badlani, Vincent Asokan, Radha Ravi, Hari Krishnan, Cheenu Mohan, Sentrayan, Rajesh Sharma, Munnar Ramesh, Ragavendar, Saran Shakthi, Subathra Robert"
Dear Zindagi,2016,151 mins   More at IMDb TMDB  Report this page,"Romance, Drama",Gauri Shinde,3.36 out of 5,Red Chillies Entertainment,India,Hindi,"Alia Bhatt, Shah Rukh Khan, Kunal Kapoor, Angad Bedi, Ali Zafar, Ira Dubey, Rohit Saraf, Yashaswini Dayama, Gautmik, Yashwant Singh, Salone Mehta, Baby Dishita, Nikita Anand, Amit Nagraj, Aban Bharucha Deohans, Atul Kale, Martha Xavier Fernandes, Madhav Vaze, Ivan Rodrigues, Akanksha Gade, Aditya Roy Kapur, Chitra Shukla"
Gully Boy,2019,156 mins   More at IMDb TMDB  Report this page,"Music, Drama",Zoya Akhtar,3.69 out of 5,Excel Entertainment,India,Hindi,"Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi, Vijay Raaz, Vijay Varma, Amruta Subhash, Ikhlaque Khan, Sheeba Chaddha, Kalki Koechlin, Jyoti Subhash, Vijay Maurya, Srishti Shrivastava, Svar Kamble, Jasleen Kaur Royal, Kubbra Sait, Sambhav Jain"
K.G.F: Chapter 2,2022,168 mins   More at IMDb TMDB  Report this page,"Action, Thriller, Adventure, Crime",Prashanth Neel,3.40 out of 5,Hombale Films,India,Kannada,"Yash, Sanjay Dutt, Raveena Tandon, Srinidhi Shetty, Archana Jois, Achyuth Kumar, Rao Ramesh, Ayyappa P. Sharma, Easwari Rao, Saran Shakthi, Harish Rai, Ashok Sharma, Prakash Raj, Malavika Avinash, Govinde Gowda, T. S. Nagabharana, Balakrishna, John Kokken, Lakki Lakshman, Vasishta N. Simha, B. S. Avinash, Dinesh Mangalore, Tarak Ponnappa, Ramachandra Raju, Vinay Bidappa, Ramesh Indira, Mohan Juneja, B Suresha, Krishnappa, Roopa Rayappa, Krishnoji Rao, Divya G. Gowda, Yash Shetty, Darbha Appaji Ambarisha, Sonu Gowda, Anant Nag"
Three of Us,2022,100 mins   More at IMDb TMDB  Report this page,Drama,Avinash Arun,3.96 out of 5,Allu Entertainment,India,Hindi,"Shefali Shah, Jaideep Ahlawat, Swanand Kirkire, Kadambari Kadam, Rasika Agashe, Ojasvi Berde, Radha Dharane, Sharvari Lohokare, Shruja Prabhudesa, Nina Kulkarni, Payal Jadhav, Umesh Jagtap, Suhita Thatte, Usha Naik, Makarand Dharmadhikari, Sanjay Mone, , Yash Marathe, Avinash Arun"
Saripodhaa Sanivaaram,2024,172 mins   More at IMDb TMDB  Report this page,"Action, Thriller",Vivek Athreya,3.29 out of 5,DVV Entertainment,India,Telugu,"Nani, S. J. Suryah, Priyanka Arul Mohan, Sai Kumar, Murali Sharma, Aditi Balan, Abhirami, Anitha Chowdary, Harshavardhan, Ajay, Ajay Ghosh, Shivaji Raja, Surabhi Prabhavathi, Josh Ravi, Laxman Meesala, Supreet, Vishnu Oi, Subhalekha Sudhakar, Jeevan Kumar, Prudhvi Raj Palaparthi, Satya Prakash, Ali Basha, Harsh Roshan, Jhansi, Satya"
Alappuzha Gymkhana,2025,140 mins   More at IMDb TMDB  Report this page,"Comedy, Drama, Action",Khalid Rahman,3.19 out of 5,Plan B Motion Pictures,India,Malayalam,"Naslen, Lukman Avaran, Ganapathi S Poduval, Sandeep Pradeep, Anagha Maya Ravi, Shon Joy, Franco Francis, Baby Jean, Shiva Hariharan, Karthik, Kottayam Nazeer, Nanda Nishanth, Noila Francy, Salim Hassan, Swathi Das Prabhu, Shine Tom Chacko, Assim Jamal, Manjusree Nair, Abu Salim, Adhri Joe, Gokulan, Alex Paul, Ali Shifas, Jophiel Lal, Chakki Malavika, Jishnu Sreekumar, Reyan Shameer, Arshed Iqbal"
96,2018,159 mins   More at IMDb TMDB  Report this page,Romance,C. Prem Kumar,3.96 out of 5,Madras Enterprises,India,Tamil,"Vijay Sethupathi, Trisha Krishnan, Aditya Baskar, Gouri G Kishan, Devadarshini, Bagavathi Perumal, Janagaraj, Aadukalam Murugadoss, Varsha Bollamma, Niyathi Kadambi, Kavithalaya Krishnan"
Hi Nanna,2023,155 mins   More at IMDb TMDB  Report this page,"Romance, Family, Drama",Shouryuv,3.63 out of 5,Vyra Entertainments,India,Telugu,"Nani, Mrunal Thakur, Baby Kiara Khanna, Jayaram, Shilpa Tulaskar, Priyadarshi Pullikonda, Angad Bedi, Viraj Ashwin, Nassar, Dristhy Talwar, Ritika Nayak, Neha Sharma, Shruti Haasan, Chinmayi Sripaada"
October,2018,109 mins   More at IMDb TMDB  Report this page,"Romance, Drama",Shoojit Sircar,3.65 out of 5,Kino Works,India,Hindi,"Varun Dhawan, Banita Sandhu, Gitanjali Rao, Sahil Vedoliyaa, Isha Chaturvedi, Prateek Kapoor, Iteeva Pandey, Karamveer Kanwar, Ashish Ghosh, Rachica Oswal, Aarti, Gauri Aggarwal, Rajesh Aggarwal, Alex, Nikita Anand"
Marco,2024,145 mins   More at IMDb TMDB  Report this page,"Crime, Thriller, Action",Haneef Adeni,2.59 out of 5,Cubes Entertainments,India,Malayalam,"Unni Mukundan, Siddique, Ishan Shoukath, Jagadish, Abhimanyu Thilakan, Kabir Duhan Singh, Anson Paul, Ajith Koshy, Durva Thaker, Yukti Thareja, Mathew Varghese, Sreejith Ravi, Dinesh Prabhakar, Lishoy, Arjun Nandhakumar, Shaji Chen, Bindu Sanjeev, Sajitha Sreejith"
Drishyam,2015,163 mins   More at IMDb TMDB  Report this page,"Crime, Thriller, Mystery",Nishikant Kamat,3.80 out of 5,Panorama Studios,India,Hindi,"Ajay Devgn, Tabu, Shriya Saran, Ishita Dutta, Mrunal Jadhav, Rajat Kapoor, Kamlesh Sawant, Rishab Chadha, Prathamesh Parab, Prasanna Ketkar, Sandeep Pandey, Ashish Warang, Sanjay Bhatia, Sonika Chopra, Sharad Bhutadiya, Yogesh Soman"
Chak De! India,2007,148 mins   More at IMDb TMDB  Report this page,Drama,Shimit Amin,3.77 out of 5,Yash Raj Films,India,Hindi,"Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge, Shilpa Shukla, Chitrashi Rawat, Tanya Abrol, Arya Menon, Seema Azmi, Nisha Nair, Sandia Furtado, Masochon V. Zimik, Kimi Laldawla, Shubhi Mehta, Anaitha Nair, Kimberly Miranda, Nichola Sequeira, Raynia Mascerhanas, Javed Khan, Vibha Chibber, Jayshree Arora, Nakul Vaid, Vivan Bhatena, Mohit Chauhan, Aanjjan Srivastav, Jimmy Lekkas, Celina Lazarus"
Rifle Club,2024,113 mins   More at IMDb TMDB  Report this page,"Thriller, Action",Aashiq Abu,3.39 out of 5,OPM Dream Mill Cinemas,India,Malayalam,"Dileesh Pothan, Vishnu Agasthya, Vani Viswanath, Anurag Kashyap, Hanumankind, Surabhi Lakshmi, Ramzan Muhammed, Vijayaraghavan, Unnimaya Prasad, Suresh Krishna, Kiran Peethambaran, Vineeth Kumar, Ponnamma Babu, Darshana Rajendran, Senna Hegde, Natesh Hegde, Navani Devanand, Bibin Perumbily, Sajeev Kumar, Janvi Muralidharan, Raffi, Niyaz Musaliyar, Parimal Shais, Prasant Murali, Ramu, K. P. A. C. Azeez, K.P.A.C. Sunny, Sreelakshmi M"
Ponniyin Selvan: Part I,2022,167 mins   More at IMDb TMDB  Report this page,"Adventure, History, Action",Mani Ratnam,3.53 out of 5,Lyca Productions,India,Tamil,"Vikram, Aishwarya Rai Bachchan, Ravi Mohan, Karthi, Trisha Krishnan, Jayaram, Prakash Raj, R. Sarathkumar, R. Parthiban, Kishore, Aishwarya Lekshmi, Sobhita Dhulipala, Ashwin Kakumanu, Rahman, Jayachitra, Prabhu, Lal, Vikram Prabhu, Riyaz Khan, Vinay Kumar Joseph, Arjun Chidambaram, Yog Jappie, Nizhalgal Ravi, Mohan Raman, Vidhya Subramanian, Vinodhini Vaidyanathan, Ashwin Rao Pallaki, Shyam Fernando, Harris Moosa, Babu Antony, Gopi Kannadasan, Balaji Sakthivel, Santhosh, Sara Arjun, Raaghavan Murugan, Nassar, Bharat Raj, Suresh Ekambaram, Nimmy Raphael, A. Seemon, Anil Kumar, Shakthi Ramani, Ramachandran, Jaichandran, Amzath Khan, Kannan, Sundaram, Jaindhan, Nambi, Bharathiraja Sakthivel, Heavens Raja, Balla Bhoopalan, Manoj Kumar K., Aadesh Bala, Prabhu Mani, Vikram, Deepa Venkat, Krithika Nelson, Ashmini Balakrishnan, K. Smruthi, N. Azhagamperumal, Kamal Haasan"
Kapoor & Sons,2016,137 mins   More at IMDb TMDB  Report this page,"Romance, Drama, Family, Comedy",Shakun Batra,3.71 out of 5,Fox Star Studios,India,Hindi,"Sidharth Malhotra, Fawad Khan, Alia Bhatt, Ratna Pathak Shah, Rishi Kapoor, Rajat Kapoor, Anahita Oberoi, Vikram Kapadia, Pradeep Pradhan, Fahim Shaikh, Niti Apurva Patel, Aalekh Kapoor, Sukant Goel, Aditya Gunavanthe, Rahul Arjun Adsul, Carlos Augusto Tavares Canhisares, Anuradha Chandan, Aakriti Dobhal, Elena Roxana Maria Fernandes, Arbaaz Kadwani, Rupa Kamath, Edward Sonnenblick, Amarjeet Singh, Riya Vij"
Ghajini,2008,186 mins   More at IMDb TMDB  Report this page,"Thriller, Action, Romance",A.R. Murugadoss,3.43 out of 5,Geetha Arts,India,Hindi,"Aamir Khan, Asin Thottumkal, Jiah Khan, Pradeep Ram Singh Rawat, Riyaz Khan, Khalid Siddiqui, Tinnu Anand, Sai Tamhankar, Supreet, Sunil Grover, Rajendran, Vibha Chibber, Firdausi Jussawala, Sonal Sehgal, Anjum Rajabali"
Lubber Pandhu,2024,146 mins   More at IMDb TMDB  Report this page,"Comedy, Drama, Family",Tamizharasan Pachamuthu,3.89 out of 5,Prince Pictures,India,Tamil,"V R Dinesh, Harish Kalyan, Sanjana Krishnamoorthy, Swasika, Kaali Venkat, Balasaravanan, TSK, Devadarshini, Jensan Diwakar"
Brahmāstra Part One: Shiva,2022,168 mins   More at IMDb TMDB  Report this page,"Fantasy, Action, Adventure",Ayan Mukerji,2.61 out of 5,Dharma Productions,India,Hindi,"Ranbir Kapoor, Alia Bhatt, Mouni Roy, Amitabh Bachchan, Nagarjuna Akkineni, Shah Rukh Khan, Dimple Kapadia, Saurav Gurjar, Rouhallah Gazi, Gurfateh Pirzada, Stanzin Delek, Lehar Khan, Aditi Joshi, Markand Soni, Chaitanya Sharma, Saqib Ayub, Rashi Mal, Rohan Rustomji, Farida Dadi, Nivaan Gupta, Adarsh Bharti, Deepika Padukone"
The Fifth Estate,2013,128 mins   More at IMDb TMDB  Report this page,"Drama, Thriller",Bill Condon,2.77 out of 5,Participant,India,English,"Benedict Cumberbatch, Daniel Brühl, Anthony Mackie, David Thewlis, Alicia Vikander, Dan Stevens, Stanley Tucci, Laura Linney, Carice van Houten, Peter Capaldi, Moritz Bleibtreu, Alexander Beyer, Jamie Blackley, Anatole Taubman, Michael Culkin, Alexander Siddig, Michael Kranz, Axel Milberg, Philip Bretherton, Joseph Kinyua Muriuki, Peter King Nzioki, Lydia Leonard, Amir Boutrous, Mimi Ferrer, Gudmundur Thorvaldsson, Hera Hilmar, Nigel Whitmey, Camilla Rutherford, Ludger Pistor, Ben Rook"
Vidaamuyarchi,2025,151 mins   More at IMDb TMDB  Report this page,"Action, Thriller, Mystery, Crime, Drama",Magizh Thirumeni,2.69 out of 5,Lyca Productions,India,Tamil,"Ajith Kumar, Trisha Krishnan, Arjun Sarja, Regina Cassandra, Aarav Kizar, Ravi Raghavendra, Jeeva Ravi, Sandhya Janak, Ramya Subramanian, Nikhil Nair, Ganesh Saravanan, Vidadi Hasanov, Kyazim Abdullayev, Sveta Hakimova, Javanshir Hadiyev, Rovshan Karimdukht, Tural Ahmad, Ilkin Hamidli, Sasan Asadi, Elkhan Kuliyev, Matanat Eres, Praveen Kumar, Ram C, Devi Mahesh Rayan, Dasarathi Narasimhan, Vusala Aghayeva, Abdulla Mammadov, Vetri Kiran, Muthu Lakshmi Vaidyanathan, Maya Babayeva, Anvar Azimov, Mrithula Suresh, Sowmiya Bharathi, Aynur Jabbarova, Tahir Mahmudov, Zaur Mammadov, Arif Hasanov, Parviz Rzaev, Ulvi Mammadov, Samson, S. Vijaya Raghavan, Ramya Sandeep, Cesor, Shamam, Alex, Shahriyar Gasimov, Mayboo George, Orxanin, Aga Fatullayev, Ilchin, Kirill Lapchenko, Oleg Dzgoev, Evgenli Prikhodka, Aleksei Filatov, Maksyam Bondar, Praveen"
Jai Bhim,2021,164 mins   More at IMDb TMDB  Report this page,"Mystery, Crime, Drama",T. J. Gnanavel,3.75 out of 5,2D Entertainment,India,Tamil,"Suriya, Lijomol Jose, Baby Joshika Maya, Manikandan, Rajisha Vijayan, Prakash Raj, Rao Ramesh, Guru Somasundaram, Tamizh, Supergood Subramani, Bala Hasan, Bava Chelladurai, Jayaprakash, M. S. Bhaskar, Ilavarasu, Sibi Thomas, Rajesh Balachandiran, Kumar Natarajan, Sujatha Sivakumar, Ravi Venkatraman, Thangapandiyan, Shankar Sundaram, Jijoy Rajagopal, Sanjay Swaroop, Hello Kandasamy, Subathra Robert, Jai Bhim Rajendran, Raveena Ravi, Pathaman"
Kho Gaye Hum Kahan,2023,135 mins   More at IMDb TMDB  Report this page,"Drama, Comedy",Arjun Varain Singh,3.34 out of 5,Excel Entertainment,India,Hindi,"Siddhant Chaturvedi, Ananya Panday, Adarsh Gourav, Kalki Koechlin, Anya Singh, Rohan Gurbaxani, Vijay Maurya, Divya Jagdale, Kashyap Kapoor, Rahul Vohra, Garima Yajnik, Suchitra Pillai, Mahathi Ramesh, Ikhlaque Khan, Sonali Sachdev, Roshmin Mehandru, Devarshi Shah, Alistar Bennis, Kartik Shah, Malaika Arora, Sapan Verma, Kyla D'Souza, Kat Kristian, Archana Mittal, Ramona Arena, Asmara Sharma Khan, Arah Singh, Narendra Jetley, Shiven Tharyamal, Manasi Tare, Neel Kadam, Ashish Sawhny, Kayan, Yash Sahai, Nikhil Dave, Jeet Mathuria, Aditya Nanda, Muskan Bisaria, Sonali Sachdeva, Claudia Cecchini Gutierrez, Nischay Malik, Quesia Vitoria, Peterasp Udwadia"
Vettaiyan,2024,161 mins   More at IMDb TMDB  Report this page,"Crime, Action, Drama",T. J. Gnanavel,2.90 out of 5,Lyca Productions,India,Tamil,"Rajinikanth, Amitabh Bachchan, Fahadh Faasil, Rana Daggubati, Manju Warrier, Ritika Singh, Kishore, Dushara Vijayan, Asal Kolar, Ananth Nag, Abhirami, Rohini, G. M. Sundar, Rao Ramesh, Rakshan, Ramesh Thilak, Remya Suresh, Alencier Ley Lopez, Vasanthi Guru, Sabumon Abdusamad, Aruvi Bala, M. Soundarya Saravanan, Krishnudu, Vinod Sagar, Birla Bose, Kalki Raja, Arul D. Shankar, Sri Deva, Thanmaya Sol, Aravindraj R, Shaji Chen, Supreet, Anirudh Ravichander, B. S. Avinash, Rethika Srinivas, Sundarayyar, Meenakshi, Sowra Syed, Dhatsha Pillai"
Udaan,2010,138 mins   More at IMDb TMDB  Report this page,Drama,Vikramaditya Motwane,4.06 out of 5,UTV Spotboy Motion Pictures,India,Hindi,"Ronit Roy, Rajat Barmecha, Aayan Boradia, Ram Kapoor, Manjot Singh, Anand Tiwari, Suman Mastkar, Aarhan Roychowdhry, Jenny Shah, Raja Hudda, Shaunak Sengupta, Varun Khettry, Akshay Sachdev, Sanjay Gandhi, Shashi Sharma, Khushkiran Singh Sandhu, Jayanta Das, Akantuk Sharma, Sahil Sahota, Sonia Raisurana, MD Nizam, Arvind Kumar, Siddharth Sen, Sunil Motwane, Rana Sharma, Vikas Kumar, Kashif Imam, Khushtar Khan, Amit Das, Neeraj Shukla, Sheikh Murshid Alam, MD Shamin, Gautam Shankar, Dr. R. Pandey, Rajani Shekhar, Amitabh, Rachita Roy, Nichita Roy, Sana Parveen, Jyoti Mishra, Ronny D'Costa, Marianne D'Costa, Ryan D'Costa, Roberta D'Costa, Jeroo Mody, Neha Boradia, Ishika Mohan Motwane"
Thug Life,2025,165 mins   More at IMDb TMDB  Report this page,"Drama, Action, Crime",Mani Ratnam,1.97 out of 5,Raajkamal Films International,India,Tamil,"Kamal Haasan, Silambarasan, Trisha Krishnan, Ashok Selvan, Abhirami, Nassar, Joju George, Ali Fazal, Mahesh Manjrekar, Sanjana Krishnamoorthy, Aishwarya Lekshmi, Tanikella Bharani, Rohit Saraf, Vaiyapuri, Chinni Jayanth, Vadivukarasi, Bagavathi Perumal, Sanya Malhotra, Baburaj, Sreekanth Menon, Arjun Chidambaram, Chetan, Rajshri Deshpande, Adithya Krishnan, Elango Kumaravel"
HIT: The Third Case,2025,157 mins   More at IMDb TMDB  Report this page,"Thriller, Action, Crime",Sailesh Kolanu,2.88 out of 5,Wall Poster Cinema,India,Telugu,"Nani, Srinidhi Shetty, Komalee Prasad, Rao Ramesh, Surya Srinivas, Adil Pala, Prateik Babbar, Amit Sharma, Samuthirakani, Chaitu Jonnalagadda, Ravindra Vijay, Tisca Chopra, Adivi Sesh, Maganti Srinath, Karthi, Napoleon, Ruheen Ali Khan, Kishore Kumar Polimera"
Sita Ramam,2022,158 mins   More at IMDb TMDB  Report this page,"Romance, History, Drama",Hanu Raghavapudi,3.68 out of 5,Vyjayanthi Movies,India,Telugu,"Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth, Gautham Vasudev Menon, Tharun Bhascker, Vennela Kishore, Shatru, Sachin Khedekar, Prakash Raj, Ashwath Bhatt, Bhumika Chawla, Abhinaya, Jisshu Sengupta, Pawan Chopra, Rukmini Vijayakumar, Neeraj Kabi, Murali Sharma, Tinnu Anand, Nikhil Devadula, Mehroos Mir, Snigdha Bawa, Priyadarshi Pullikonda, Sunil Varma, Keshav Deepak, Rohini, Anish Kuruvilla, Rahul Ravindran, Chinmayi Sripaada"
A Night of Knowing Nothing,2021,99 mins   More at IMDb TMDB  Report this page,Documentary,Payal Kapadia,3.95 out of 5,petit chaos,France,"Bengali, Bangla",Bhumisuta Das
Delhi Belly,2011,102 mins   More at IMDb TMDB  Report this page,"Action, Comedy",Abhinay Deo,3.70 out of 5,UTV Motion Pictures,India,Hindi,"Imran Khan, Kunaal Roy Kapur, Vir Das, Shenaz Treasury, Poorna Jagannathan, Raju Kher, Vijay Raaz, Lushin Dubey, Paresh Ganatra, Rahul Singh, Rajendra Sethi, Kim Bodnia, Anusha Dhandekar, Aamir Khan, Ayesha DeVitre, Bugs Bhargava, Divya Bhatia, Shilpa Mehta, Avdhesh Kumar, Dipti Avlani, Mangesh Kshirsagar, Rajesh Desai, Abhijit Kulkarni, Nikita Bhatt, Neville Dadachandji, Nayani Dixit, Shinjini Raval, Amjad Ali Warsi, Habib Khan, Reyub Khan, Sunil Dutta Pandey, Ashraf Ul Haq, Pradeep Kabra, Sitaram Devasi Kadam, Salome Narayana Polaki, Kumar Manav, Satindir Anand, Michael Terry, Janet Hookway, Dharmander Singh, Gabriel John, Dhaval Bharbhaya, Renuka Bondre, Mansee Deshmukh, Zafar Karachiwala, Ramesh Khanna, Shubhangi Latkar, Jehangir Ratansha Karkaria, Rani Kochchar, Pranil Darzi, Rishab Chadha, Rajesh S Khatri, Rakesh Kumar, Vanessa Rewrie, Ravi Khanwilkar, Uday Bhan Mourya, Shivam Sharma, Zeena Bhatia, Manoj Bakshi, V K Chanana, Shashi Gupta, Krishna Bansal, Saagar Kale, Rahul Pendalkar, Vishesh Kaul"
Kantara,2022,147 mins   More at IMDb TMDB  Report this page,"Thriller, Adventure, Action",Rishab Shetty,3.49 out of 5,Hombale Films,India,Kannada,"Rishab Shetty, Sapthami Gowda, Kishore, Achyuth Kumar, Pramod Shetty, Prakash Tuminadu, Manasi Sudhir, Naveen D. Padil, Suchan Shetty, Swaraj Shetty, Deepak Rai Panaje, Shanil Guru, Pradeep Shetty Bellala, Rakshith Ramachandra Shetty, Prabhakar Kunder, Chandrakala Udupi, Sukanya, Satish Achar, Pushparaj Bollar, Raghu Pandeshwar, Mime Ramdas, Basuma Kodagu, Ranjan Saju, Rajeev Shetty, Athish S Shetty, Radhakrishna Kumble, Naveen Bondel, Shine Shetty, Vinay Bidappa, Pragathi Rishab Shetty"
Crew,2024,124 mins   More at IMDb TMDB  Report this page,"Drama, Comedy",Rajesh Krishnan,2.96 out of 5,Balaji Motion Pictures,India,Hindi,"Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Rajesh Sharma, Trupti Khamkar, Kapil Sharma, Saswata Chatterjee, Kulbhushan Kharbanda, Myra Singh, Naisha Khanna, Garima Yajnik, Ivan Rodrigues, Suparna Marwah, Ramakant Dayma, Maeha Sharma, Shivam Khanna, Rahil Gilani, Vallabh Gada, Juhi Arora, Mohit Gupta, Chaitali Kohli, Hetal Puniwala, Neel Kamal Sharma, Charu Shankar, Pratik Yadav, Pooja Bhamrah, Vinayak Dubey, Nayyar Jafferi, Prince Gautam, Sumali Khaniwale, Krishna Verma, Bharat Khetalpar, Anna Gavrichkova, Dilip Kumar Vasu, Kulpreet Yadav, Prince Sardana, Prashant Sethi, Noyrika Bhatheja, Ankur Panchali, Syscila Sampath, Kumud Shaw, Manpreet Singh, Rishabh Tah, Garvil Bhatia, Birina Chakravarty, Kinnary Pantki Panchal, Amita Pareva, Vikas Ganju, Kavita Waadhawan, Vivek Doshi, Tanya Powell, Ankur Shekhar Deshmukh, Rajesh Ganesh Sharma"
Kuberaa,2025,185 mins   More at IMDb TMDB  Report this page,"Thriller, Drama, Crime",Sekhar Kammula,2.98 out of 5,Sree Venkateswara Cinemas LLP,India,Telugu,"Dhanush, Nagarjuna Akkineni, Jim Sarbh, Rashmika Mandanna, K. Bhagyaraj, Dalip Tahil, Sunaina, Shravani, Ajithlal Sivalal, Sathyam Kurung, Col Ravi Sharma, Saurav Khurana, Hareesh Peradi, Sayaji Shinde, Bagavathi Perumal, Jayaprakash, Nassar, Bose Venkat, N. Azhagamperumal, Sai Suresh, Sumit, Ingnam Lingo Subba, Krisha Kurup, Vedala Hemachandra"
Ae Dil Hai Mushkil,2016,158 mins   More at IMDb TMDB  Report this page,"Romance, Drama",Karan Johar,2.91 out of 5,ADHM Films,India,Hindi,"Ranbir Kapoor, Anushka Sharma, Aishwarya Rai Bachchan, Fawad Khan, Lisa Haydon, Imran Abbas, Raj Awasti, Lora Moss, Matt Townsend, Neha Dhupia, Hiten Patel, Shah Rukh Khan, Sofia Abbasi"
Talaash,2012,149 mins   More at IMDb TMDB  Report this page,"Drama, Thriller, Crime",Reema Kagti,3.54 out of 5,Aamir Khan Productions,India,Hindi,"Aamir Khan, Kareena Kapoor Khan, Rani Mukerji, Nawazuddin Siddiqui, Rajkummar Rao, Subrat Dutta, Shernaz Patel, Gulfam Khan, Aditi Vasudev, Vivan Bhatena, Pariva Pranati, Izabelle Leite, Suhaas Ahuja, Shivani Tanksale, Kuldeep Sareen, Mandar Gokhale, Rajshri Deshpande, Rudra Kaushish, Om Prakash, Prashant Prakash, Suruchi Aulakh, Sheeba Chaddha"
Ra.One,2011,156 mins   More at IMDb TMDB  Report this page,"Adventure, Action, Science Fiction",Anubhav Sinha,2.68 out of 5,Red Chillies Entertainment,India,Hindi,"Shah Rukh Khan, Arjun Rampal, Kareena Kapoor Khan, Armaan Verma, Tom Wu, Shahana Goswami, Dalip Tahil, Satish Shah, Suresh Menon, Atul Sharma, Ben Hawkey, Delnaaz Irani, Charanpreet Singh, Priyanka Chopra Jonas, Sanjay Dutt, Shola Adewusi, Paul Lowe, Georgia Curtis, Rajinikanth, Amitabh Bachchan, Jon Wennington"
